City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aykhal,66.0,111.5,257.15,100,82,0.56,RU,1698356902
1,susuman,62.7833,148.1667,250.37,98,74,0.18,RU,1698357217
2,vadso,70.0744,29.7487,271.24,86,75,2.06,NO,1698357217
3,tralee,52.2704,-9.7026,281.58,95,74,2.31,IE,1698357218
4,grytviken,-54.2811,-36.5092,274.63,98,100,5.33,GS,1698357218
5,petropavlovsk-kamchatsky,53.0452,158.6483,273.96,83,0,7.15,RU,1698357218
6,ji'an,27.1172,114.9793,292.34,97,100,1.33,CN,1698357219
7,badger,64.8,-147.5333,274.66,85,75,0.0,US,1698356940
8,minas de marcona,-15.2119,-75.1103,290.16,74,98,4.48,PE,1698357219
9,nuuk,64.1835,-51.7216,273.49,74,75,6.71,GL,1698357219
10,ahar,38.4774,47.0699,286.31,51,96,2.8,IR,1698357220
11,newman,37.3138,-121.0208,292.72,46,1,3.58,US,1698357220
12,flying fish cove,-10.4217,105.6791,297.97,83,75,4.63,CX,1698357220
13,kerikeri,-35.2268,173.9474,289.35,84,89,3.34,NZ,1698357221
14,adamstown,-25.066,-130.1015,295.68,79,79,5.06,PN,1698357221
15,bredasdorp,-34.5322,20.0403,287.27,76,58,3.08,ZA,1698357221
16,hithadhoo,-0.6,73.0833,300.53,77,41,7.37,MV,1698357222
17,dunedin,-45.8742,170.5036,279.71,63,22,5.36,NZ,1698357222
18,mahajanga,-15.7167,46.3167,301.16,78,20,2.57,MG,1698357222
19,luga,58.7372,29.8453,272.35,67,100,4.12,RU,1698357222
20,waitangi,-43.9535,-176.5597,286.94,92,98,3.58,NZ,1698357223
21,ouezzane,34.7971,-5.5822,290.71,85,99,0.85,MA,1698357223
22,port-aux-francais,-49.35,70.2167,275.26,80,100,9.14,TF,1698357223
23,crystal city,28.6775,-99.8281,304.21,55,100,5.66,US,1698357223
24,fort st. john,56.2499,-120.8529,270.09,68,100,4.12,CA,1698357224
25,kapuskasing,49.4169,-82.4331,274.2,93,100,4.63,CA,1698357224
26,letterkenny,54.95,-7.7333,283.34,98,100,1.97,IE,1698357224
27,goldsboro,35.3849,-77.9928,300.11,45,40,1.54,US,1698356962
28,edinburgh of the seven seas,-37.0676,-12.3116,285.55,63,100,5.26,SH,1698357225
29,bethel,41.3712,-73.414,296.08,58,47,1.04,US,1698357225
30,dolzhanskaya,46.6311,37.8039,287.26,97,99,4.86,RU,1698357225
31,kavieng,-2.5744,150.7967,300.75,77,100,1.6,PG,1698357226
32,kimbe,-5.5502,150.1429,299.39,83,100,1.33,PG,1698357226
33,kodiak,57.79,-152.4072,279.88,70,100,4.63,US,1698357226
34,olonkinbyen,70.9221,-8.7187,272.91,74,76,1.57,SJ,1698357227
35,asau,46.4333,26.4,287.75,81,99,2.91,RO,1698357227
36,yellowknife,62.456,-114.3525,272.27,72,75,7.72,CA,1698356927
37,manchester,53.4809,-2.2374,283.34,87,100,0.51,GB,1698356445
38,wailua homesteads,22.0669,-159.378,301.55,67,0,2.57,US,1698357228
39,port douglas,-16.4833,145.4667,298.25,63,63,1.2,AU,1698357228
40,namibe,-15.1961,12.1522,293.59,74,86,2.29,AO,1698357228
41,stanley,54.868,-1.6985,282.89,95,75,5.14,GB,1698357228
42,tiksi,71.6872,128.8694,258.57,97,99,2.47,RU,1698357229
43,sola,-13.8833,167.55,300.52,94,75,0.0,VU,1698357229
44,kailua-kona,19.6406,-155.9956,302.92,72,20,3.6,US,1698357230
45,houghton,47.1219,-88.569,282.44,97,100,3.6,US,1698357049
46,midvagur,62.0511,-7.1939,281.61,81,75,10.29,FO,1698357230
47,fortuna,40.5982,-124.1573,288.9,61,0,5.66,US,1698357230
48,blackmans bay,-43.0167,147.3167,283.56,70,51,0.45,AU,1698357231
49,kourou,5.1552,-52.6478,302.18,79,90,4.8,GF,1698357231
50,nikolayevsk-on-amure,53.1406,140.73,273.56,85,28,2.06,RU,1698357231
51,keflavik,64.0049,-22.5624,279.39,93,0,1.54,IS,1698357231
52,amungan,15.3652,119.9582,299.71,79,61,2.05,PH,1698357232
53,talnakh,69.4865,88.3972,256.57,94,38,1.0,RU,1698357232
54,piti village,13.4626,144.6933,302.21,91,0,2.06,GU,1698357232
55,isafjordur,66.0755,-23.124,277.21,90,74,1.87,IS,1698357232
56,ilulissat,69.2167,-51.1,273.16,59,75,6.17,GL,1698357233
57,port saint john's,-31.6229,29.5448,293.95,88,43,5.35,ZA,1698357233
58,gijang,35.2442,129.2139,283.0,69,3,2.75,KR,1698357233
59,longyearbyen,78.2186,15.6401,270.06,80,75,2.57,SJ,1698357233
60,kurumkan,54.3,110.3,272.66,79,74,0.89,RU,1698357140
61,albany,42.6001,-73.9662,294.63,64,87,0.22,US,1698357218
62,thompson,55.7435,-97.8558,271.24,50,100,5.14,CA,1698357234
63,grand falls-windsor,48.9332,-55.6649,281.21,84,100,1.34,CA,1698357234
64,yuzhno-sukhokumsk,44.6581,45.6436,290.47,73,100,1.6,RU,1698357235
65,taltal,-25.4,-70.4833,290.0,69,22,1.29,CL,1698357021
66,hadibu,12.65,54.0333,299.73,83,44,4.04,YE,1698357235
67,mudgee,-32.5943,149.5871,285.25,64,48,6.35,AU,1698357235
68,cururupu,-1.8283,-44.8683,299.08,71,35,2.31,BR,1698357236
69,mao,39.8885,4.2658,295.46,83,20,7.72,ES,1698357236
70,al kharijah,25.4514,30.5464,300.16,29,2,3.85,EG,1698357236
71,jamestown,42.097,-79.2353,294.95,52,0,5.66,US,1698357071
72,mekhe,15.1097,-16.6218,302.51,55,53,3.59,SN,1698357237
73,kushva,58.2906,59.7592,266.99,81,34,4.54,RU,1698357237
74,polyarnyy,69.1989,33.4478,269.68,93,100,2.99,RU,1698357238
75,avarua,-21.2078,-159.775,296.18,60,75,5.66,CK,1698357238
